Title,Price,Currency,Location,URL
Acer Chromebook N7 (C731) 11.6 inch 16GB SSD 2GB RAM Laptop HDMI WIFI,55.00,GBP,GB,https://www.ebay.co.uk/itm/395925736578?_skw=laptop&hash=item5c2f034c82:g:ZVwAAOSw3lFm1FQm
"Black Friday Special HP Chromebook 11.6"" G8 EE 4GB 32GB, Googleplay  Latest 2020",58.50,GBP,GB,https://www.ebay.co.uk/itm/296689929323?_skw=laptop&hash=item4514190c6b:g:R9UAAOSwJLVm5C3I
Lenovo ThinkPad L490 i5-8265U Quad Core 16GB 256GB SSD Windows 11 Pro Laptop,209.99,GBP,GB,https://www.ebay.co.uk/itm/235486696478?_skw=laptop&hash=item36d419d41e:g:KWYAAOSwhsFl~Viz
"LENOVO IdeaPad 1 14"" Laptop - Intel Celeron, 128 GB SSD, Blue - REFURB-C",137.48,GBP,GB,https://www.ebay.co.uk/itm/355141660489?_skw=laptop&hash=item52b017af49:g:EdUAAOSwHStnENfX
"Toshiba NB520-11W 10.1"" Netbook/Laptop, Intel Atom N570 @ 1.66GHz, 2GB RAM 320GB",35.00,GBP,GB,https://www.ebay.co.uk/itm/305954737359?_skw=laptop&hash=item473c52cccf:g:MR4AAOSwXuhnUYMc
"Cheap Laptop Mini Windows 10  11"" Laptop 1.2Ghz 4GB RAM 64GB str",59.99,GBP,GB,https://www.ebay.co.uk/itm/395704715859?_skw=laptop&hash=item5c21d6ca53:g:LmIAAOSwgK9mdgHk
CHEAP FAST WINDOWS 11 LAPTOP INTEL CORE i5 32 RAM 1TB SSD WITH 1 YEAR WARRANTY,139.99,GBP,GB,https://www.ebay.co.uk/itm/204794750160?_skw=laptop&hash=item2faeb7e4d0:g:A1MAAOSwtMlmRdz~&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8XskE%2FJJjFgxD3t888sPgV5XRX3GgqpF64FZsCPyXNfdEw5qxryM33xCMwYspH8fK5mdI4FL36ZBBFIx6STM2Jb6b%2BNfOeAeK5BNv4l%2F7i3AIU9TirhNCqvyG%2FwvjAukukyrRLck9SSfXfV4fePY46vojtXRQ4p6KXkvTvE0QSYndAuT2k5PN4p4fXuw%2FLZQIndPXzOJdQJ5Dj40R%2FktiYqdkHDysWICF24rIv51n5kMMluJVjmCHYWgPlR4JybRYpEukLLznKQrQwGvMK1PgL8
CHEAP LAPTOP * INTEL CORE I5 * WINDOWS 10/11 * 8GB RAM * SSD * WI-FI * WEBCAM,129.99,GBP,GB,https://www.ebay.co.uk/itm/126815991701?_skw=laptop&hash=item1d86d27795:g:VhsAAOSwWQ9nUr42&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8Uz6pSuvi1Wnvf2S2lFWkvj8t%2FrDBez4ErH9QFoHgiaOhLFH8bczXL3K3lyO58cqEV0cKl0lorJ4aNRhqfi1R%2FZwmBCclZwfn8Qcruh0DwMRMk43ItLSKJwaX8jU%2FKWtNx%2BV1%2BP%2FrKSppu53v7r%2BCbZ2C%2Bx88IISC9nYZe2sdL4Q2aZJ42JW8qYckvXW5yoyOecPh4VEIpi3EeW10oXreqbv%2BKOIr%2FQMN7eronglVy1SqRAle4bMfQLuy6YekvQE1vnBlAN6OwDE%2FRnJRt4uwGz
"Dell Latitude 5590 Laptop, 15.6"" Core i5 8th Gen, 8GB RAM, 256GB SSD, Windows 11",164.99,GBP,GB,https://www.ebay.co.uk/itm/226342182080?_skw=laptop&hash=item34b30b9cc0:g:~CUAAOSwNnpm3tlm&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8X6wJieRcYYIDtCIEsk71HzTwg0k4kB9mAZkVXyl%2BtuLBLp%2FGc6hWMMZE8MYXKVr6mW6iEjS%2F0U1pmmapEzOtG24QNh21zyWmcSQY8fcwzCfeN4VYzQl%2BRN2ZbNMoqDKlPdTmTK03mmy%2FbtJko9S7ch6GPqzjTd3rgvpD%2FNzY3keWSux2ewKD6tpXXlEv8jIaUOqVk7yGCeJTnWINbe9x77PfsKClADKHWnYJvCVi%2BBY9f0ZEOwaZMjT7O%2FTzyT6I3RhOKYKAJ9XhHAj2Arqti4
"Lenovo ThinkPad Windows 11 , 500GB SSD, Intel i5, 8GB Laptop - Same day dispatch",129.99,GBP,GB,https://www.ebay.co.uk/itm/267080928504?_skw=laptop&hash=item3e2f438cf8:g:tKgAAOSwYR5nOKML&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8XDgGSmCzWRZnzIR8Mt6WjKuDqxZ1zK55ZD9vGTDFPPejCbIw25pfmFS2zJRKBBftSUOAiKoYkRWFDe9WWRL%2F5GKJZ9QRCojCy%2FXi7kc3iGF%2Fd241YOYhjlFIhytKTUEMxsmWMclg%2Bwt7jRNPwD%2Bxnu5TPKpBSH0zpkKepbAOln97jx9KGkStJe%2BpGTGhybOnnAT0jy6IxT047P9z62n9pMUoAboETh2eerjV%2Fg5ns0oxnDIyXl8ECUNMjDAVk9CDuzpVBs5jdbz%2FpOaTNsMJ5A
HP EliteBook 840 Gen 5 Laptop 8th Gen i5 8GB RAM 256GB NVME SSD Win 11 Pro,139.99,GBP,GB,https://www.ebay.co.uk/itm/167090445647?_skw=laptop&hash=item26e75ddd4f:g:Ug0AAOSwV3lnNgtI
HP Pro X2 612 G2 Tablet PENTIUM GOLD 4GB RAM 128GB SSD Windows 11 Pro Grade A+,90.00,GBP,GB,https://www.ebay.co.uk/itm/175991786328?_skw=laptop&hash=item28f9ed8b58:g:rN8AAOSwSqVmD7eh
dell inspiron 15 5000 Series  laptop,80.00,GBP,GB,https://www.ebay.co.uk/itm/167163795222?_skw=laptop&hash=item26ebbd1716:g:aR4AAOSwVW1nV0Pg
Fast Cheap Dell Gaming Laptop i7 Up To 3.40GHz 32GB RAM 1TB SSD Win11 Computer,169.00,GBP,GB,https://www.ebay.co.uk/itm/365130929428?_skw=laptop&hash=item55037fd514:g:3gEAAOSw-Hdm7UhE
